Stadium,Team1,Team2,Won
"Sawai Mansingh Stadium,",Rajasthan Royals,Chennai Super Kings,Chennai Super Kings won by 4 wickets
"Wankhede Stadium,",Mumbai Indians,Punjab Kings,Mumbai Indians won by 3 wickets
"M. A. Chidambaram Stadium,",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings won by 7 wickets
"IS Bindra Stadium,",Punjab Kings,Sunrisers Hyderabad,Punjab Kings won by 6 wickets
"Sawai Mansingh Stadium,",Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders won by 8 wickets
"M. Chinnaswamy Stadium,",Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals won by 4 wickets
"Rajiv Gandhi Intl. Cricket Stadium,",Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians won by 40 runs
"M. A. Chidambaram Stadium,",Chennai Super Kings,Punjab Kings,Chennai Super Kings won by 22 runs
"M. Chinnaswamy Stadium,",Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders won by 5 wickets
"Arun Jaitley Stadium,",Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad won by 5 wickets
"Wankhede Stadium,",Mumbai Indians,Chennai Super Kings,Mumbai Indians won by 37 runs
"Sawai Mansingh Stadium,",Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals won by 7 wickets
"IS Bindra Stadium,",Punjab Kings,Delhi Capitals,Punjab Kings won by 14 runs
"M. A. Chidambaram Stadium,",Chennai Super Kings,Rajasthan Royals,Chennai Super Kings won by 8 runs
"Rajiv Gandhi Intl. Cricket Stadium,",Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad won by 118 runs
"Arun Jaitley Stadium,",Delhi Capitals,Kolkata Knight Riders,Match tied (Delhi Capitals won the Super Over)
"IS Bindra Stadium,",Punjab Kings,Mumbai Indians,Punjab Kings won by 8 wickets
"Rajiv Gandhi Intl. Cricket Stadium,",Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad won by 5 wickets
"M. Chinnaswamy Stadium,",Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians won by 6 runs
"Eden Gardens,",Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders won by 28 runs
"Arun Jaitley Stadium,",Delhi Capitals,Chennai Super Kings,Chennai Super Kings won by 6 wickets
"Sawai Mansingh Stadium,",Rajasthan Royals,Punjab Kings,Punjab Kings won by 14 runs
"Wankhede Stadium,",Mumbai Indians,Delhi Capitals,Delhi Capitals won by 37 runs
"Eden Gardens,",Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders won by 6 wickets
"M. A. Chidambaram Stadium,",Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings won by 7 wickets
