Stadium,Team1,Team2,Won
"Rajiv Gandhi Intl. Cricket Stadium,",Mumbai Indians,Chennai Super Kings,Mumbai Indians won by 1 run
"ACA-VDCA Stadium,",Chennai Super Kings,Delhi Capitals,Chennai Super Kings won by 6 wickets
"ACA-VDCA Stadium,",Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals won by 2 wickets
"M. A. Chidambaram Stadium,",Mumbai Indians,Chennai Super Kings,Mumbai Indians won by 6 wickets
"Wankhede Stadium,",Mumbai Indians,Kolkata Knight Riders,Mumbai Indians won by 9 wickets
"IS Bindra Stadium,",Punjab Kings,Chennai Super Kings,Punjab Kings won by 6 wickets
"M. Chinnaswamy Stadium,",Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore won by 4 wickets
"Arun Jaitley Stadium,",Delhi Capitals,Rajasthan Royals,Delhi Capitals won by 5 wickets
"IS Bindra Stadium,",Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders won by 7 wickets
"Wankhede Stadium,",Mumbai Indians,Sunrisers Hyderabad,Match Tied (Mumbai Indians won the Super Over)
"M. A. Chidambaram Stadium,",Chennai Super Kings,Delhi Capitals,Chennai Super Kings won by 80 runs
"M. Chinnaswamy Stadium,",Royal Challengers Bangalore,Rajasthan Royals,No Result
"Rajiv Gandhi Intl. Cricket Stadium,",Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad won by 45 runs
"Eden Gardens,",Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders won by 34 runs
"Arun Jaitley Stadium,",Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals won by 16 runs
"Sawai Mansingh Stadium,",Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals won by 7 wickets
"M. A. Chidambaram Stadium,",Chennai Super Kings,Mumbai Indians,Mumbai Indians won by 46 runs
"Eden Gardens,",Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals won by 3 wickets
"M. Chinnaswamy Stadium,",Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore won by 17 runs
"M. A. Chidambaram Stadium,",Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings won by 6 wickets
"Sawai Mansingh Stadium,",Rajasthan Royals,Delhi Capitals,Delhi Capitals won by 6 wickets
"M. Chinnaswamy Stadium,",Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore won by 1 run
"Rajiv Gandhi Intl. Cricket Stadium,",Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad won by 9 wickets
"Arun Jaitley Stadium,",Delhi Capitals,Punjab Kings,Delhi Capitals won by 5 wickets
"Sawai Mansingh Stadium,",Rajasthan Royals,Mumbai Indians,Rajasthan Royals won by 5 wickets
"Eden Gardens,",Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore won by 10 runs
"Arun Jaitley Stadium,",Delhi Capitals,Mumbai Indians,Mumbai Indians won by 40 runs
"Rajiv Gandhi Intl. Cricket Stadium,",Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad won by 6 wickets
"IS Bindra Stadium,",Punjab Kings,Rajasthan Royals,Punjab Kings won by 12 runs
"Wankhede Stadium,",Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians won by 5 wickets
"Rajiv Gandhi Intl. Cricket Stadium,",Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals won by 39 runs
"Eden Gardens,",Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings won by 5 wickets
"IS Bindra Stadium,",Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore won by 8 wickets
"Wankhede Stadium,",Mumbai Indians,Rajasthan Royals,Rajasthan Royals won by 4 wickets
"Eden Gardens,",Kolkata Knight Riders,Delhi Capitals,Delhi Capitals won by 7 wickets
