Stadium,Team1,Team2,Won
"DY Patil Stadium,",Chennai Super Kings,Mumbai Indians,Chennai Super Kings won by 22 runs
"DY Patil Stadium,",Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore won by 9 wickets
"DY Patil Stadium,",Chennai Super Kings,Deccan Chargers,Chennai Super Kings won by 38 runs
"DY Patil Stadium,",Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians won by 35 runs
"Eden Gardens,",Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders won by 9 wickets
"Arun Jaitley Stadium,",Delhi Daredevils,Deccan Chargers,Deccan Chargers won by 11 runs
"HPCA Stadium,",Punjab Kings,Chennai Super Kings,Chennai Super Kings won by 6 wickets
"Eden Gardens,",Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders won by 8 wickets
"M. Chinnaswamy Stadium,",Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians won by 57 runs
"HPCA Stadium,",Punjab Kings,Deccan Chargers,Deccan Chargers won by 5 wickets
"M. A. Chidambaram Stadium,",Chennai Super Kings,Delhi Daredevils,Delhi Daredevils won by 6 wickets
"Sawai Mansingh Stadium,",Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore won by 5 wickets
"M. A. Chidambaram Stadium,",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings won by 9 wickets
"Brabourne Stadium,",Mumbai Indians,Delhi Daredevils,Mumbai Indians won by 39 runs
"Vidarbha Cricket Association Stadium,",Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers won by 13 runs
"Sawai Mansingh Stadium,",Rajasthan Royals,Mumbai Indians,Mumbai Indians won by 37 runs
"Arun Jaitley Stadium,",Delhi Daredevils,Punjab Kings,Punjab Kings won by 7 wickets
"M. Chinnaswamy Stadium,",Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore won by 7 wickets
"Vidarbha Cricket Association Stadium,",Deccan Chargers,Chennai Super Kings,Deccan Chargers won by 6 wickets
"IS Bindra Stadium,",Punjab Kings,Mumbai Indians,Punjab Kings won by 6 wickets
"M. Chinnaswamy Stadium,",Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers won by 7 wickets
"Eden Gardens,",Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders won by 14 runs
"Sawai Mansingh Stadium,",Rajasthan Royals,Punjab Kings,Rajasthan Royals won by 9 wickets
"M. A. Chidambaram Stadium,",Chennai Super Kings,Mumbai Indians,Chennai Super Kings won by 24 runs
"Vidarbha Cricket Association Stadium,",Deccan Chargers,Rajasthan Royals,Rajasthan Royals won by 2 runs
"Arun Jaitley Stadium,",Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils won by 37 runs
"Eden Gardens,",Kolkata Knight Riders,Punjab Kings,Punjab Kings won by 8 wickets
"Brabourne Stadium,",Mumbai Indians,Deccan Chargers,Mumbai Indians won by 63 runs
"M. A. Chidambaram Stadium,",Chennai Super Kings,Rajasthan Royals,Chennai Super Kings won by 23 runs
"IS Bindra Stadium,",Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore won by 6 wickets
"Eden Gardens,",Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders won by 24 runs
"Arun Jaitley Stadium,",Delhi Daredevils,Rajasthan Royals,Delhi Daredevils won by 67 runs
"M. A. Chidambaram Stadium,",Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings won by 5 wickets
"Brabourne Stadium,",Mumbai Indians,Punjab Kings,Mumbai Indians won by 4 wickets
"Arun Jaitley Stadium,",Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils won by 40 runs
"DY Patil Stadium,",Deccan Chargers,Mumbai Indians,Mumbai Indians won by 41 runs
"Narendra Modi Stadium,",Rajasthan Royals,Chennai Super Kings,Rajasthan Royals won by 17 runs
"IS Bindra Stadium,",Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders won by 39 runs
"Narendra Modi Stadium,",Rajasthan Royals,Deccan Chargers,Rajasthan Royals won by 8 wickets
"Brabourne Stadium,",Mumbai Indians,Chennai Super Kings,Mumbai Indians won by 5 wickets
"M. Chinnaswamy Stadium,",Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils won by 17 runs
"IS Bindra Stadium,",Punjab Kings,Rajasthan Royals,Rajasthan Royals won by 31 runs
"M. Chinnaswamy Stadium,",Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore won by 36 runs
"Brabourne Stadium,",Mumbai Indians,Kolkata Knight Riders,Mumbai Indians won by 7 wickets
"M. A. Chidambaram Stadium,",Chennai Super Kings,Punjab Kings,Kings XI Punjab won the 1-over eliminator
"Barabati Stadium,",Deccan Chargers,Delhi Daredevils,Deccan Chargers won by 10 runs
"Brabourne Stadium,",Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore won by 7 wickets
"Narendra Modi Stadium,",Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals won by 34 runs
"Barabati Stadium,",Deccan Chargers,Punjab Kings,Deccan Chargers won by 6 runs
"Arun Jaitley Stadium,",Delhi Daredevils,Chennai Super Kings,Chennai Super Kings won by 5 wickets
"M. Chinnaswamy Stadium,",Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore won by 10 wickets
"Arun Jaitley Stadium,",Delhi Daredevils,Mumbai Indians,Mumbai Indians won by 98 runs
"Eden Gardens,",Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings won by 55 runs
"M. Chinnaswamy Stadium,",Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore won by 8 wickets
"Narendra Modi Stadium,",Rajasthan Royals,Delhi Daredevils,Delhi Daredevils won by 6 wickets
"M. A. Chidambaram Stadium,",Chennai Super Kings,Deccan Chargers,Deccan Chargers won by 31 runs
"Eden Gardens,",Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders won by 7 wickets
"IS Bindra Stadium,",Punjab Kings,Delhi Daredevils,Delhi Daredevils won by 5 wickets
"Brabourne Stadium,",Mumbai Indians,Rajasthan Royals,Mumbai Indians won by 4 runs
"DY Patil Stadium,",Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders won by 11 runs
