Stadium,Team1,Team2,Won
"New Wanderers Stadium,",Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers won by 6 runs
"New Wanderers Stadium,",Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore won by 6 wickets
"SuperSport Park,",Delhi Daredevils,Deccan Chargers,Deccan Chargers won by 6 wickets
"SuperSport Park,",Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore won by 12 runs
"SuperSport Park,",Delhi Daredevils,Mumbai Indians,Delhi Daredevils won by 4 wickets
"Kingsmead,",Chennai Super Kings,Punjab Kings,Chennai Super Kings won by 24 runs
"Kingsmead,",Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders won by 4 wickets
"New Wanderers Stadium,",Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore won by 7 wickets
"SuperSport Park,",Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders won by 7 wickets
"OUTsurance Oval,",Delhi Daredevils,Rajasthan Royals,Delhi Daredevils won by 14 runs
"New Wanderers Stadium,",Deccan Chargers,Punjab Kings,Punjab Kings won by 1 run
"New Wanderers Stadium,",Deccan Chargers,Kolkata Knight Riders,Deccan Chargers won by 6 wickets
"OUTsurance Oval,",Chennai Super Kings,Mumbai Indians,Chennai Super Kings won by 7 wickets
"Kingsmead,",Delhi Daredevils,Punjab Kings,Punjab Kings won by 6 wickets
"Kingsmead,",Mumbai Indians,Rajasthan Royals,Rajasthan Royals won by 2 runs
"Kingsmead,",Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore won by 2 wickets
"SuperSport Park,",Deccan Chargers,Delhi Daredevils,Delhi Daredevils won by 12 runs
"SuperSport Park,",Punjab Kings,Mumbai Indians,Mumbai Indians won by 8 wickets
"De Beers Diamond Oval,",Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore won by 6 wickets
"New Wanderers Stadium,",Deccan Chargers,Rajasthan Royals,Deccan Chargers won by 53 runs
"De Beers Diamond Oval,",Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils won by 7 wickets
"De Beers Diamond Oval,",Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians won by 16 runs
"Buffalo Park,",Chennai Super Kings,Rajasthan Royals,Chennai Super Kings won by 7 wickets
"SuperSport Park,",Deccan Chargers,Punjab Kings,Punjab Kings won by 3 wickets
"SuperSport Park,",Delhi Daredevils,Mumbai Indians,Delhi Daredevils won by 7 wickets
"SuperSport Park,",Chennai Super Kings,Punjab Kings,CSK won by 12 runs (D/L method)
"Kingsmead,",Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals won by 7 wickets
"Kingsmead,",Deccan Chargers,Mumbai Indians,Deccan Chargers won by 19 runs
"Buffalo Park,",Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils won by 9 wickets
"New Wanderers Stadium,",Punjab Kings,Rajasthan Royals,Rajasthan Royals won by 78 runs
"New Wanderers Stadium,",Chennai Super Kings,Deccan Chargers,Chennai Super Kings won by 78 runs
"Kingsmead,",Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore won by 9 wickets
"Buffalo Park,",Punjab Kings,Kolkata Knight Riders,Punjab Kings won by 6 wickets
"SuperSport Park,",Chennai Super Kings,Delhi Daredevils,Chennai Super Kings won by 18 runs
"SuperSport Park,",Deccan Chargers,Rajasthan Royals,Rajasthan Royals won by 3 wickets
"Kingsmead,",Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore won by 8 runs
"Kingsmead,",Kolkata Knight Riders,Mumbai Indians,Mumbai Indians won by 9 runs
"SuperSport Park,",Chennai Super Kings,Rajasthan Royals,Chennai Super Kings won by 38 runs
"Kingsmead,",Deccan Chargers,Delhi Daredevils,Delhi Daredevils won by 6 wickets
"Newlands,",Punjab Kings,Mumbai Indians,Punjab Kings won by 3 runs
"Newlands,",Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore won by 5 wickets
"Kingsmead,",Delhi Daredevils,Rajasthan Royals,Rajasthan Royals won by 5 wickets
"Kingsmead,",Kolkata Knight Riders,Mumbai Indians,Mumbai Indians won by 92 runs
"Newlands,",Chennai Super Kings,Deccan Chargers,Deccan Chargers won by 6 wickets
"Kingsmead,",Punjab Kings,Rajasthan Royals,Punjab Kings won by 27 runs
"Newlands,",Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils won by 6 wickets
"Kingsmead,",Chennai Super Kings,Kolkata Knight Riders,Match abandoned without a ball bowled
"Kingsmead,",Deccan Chargers,Mumbai Indians,Deccan Chargers won by 12 runs
"Newlands,",Royal Challengers Bangalore,Punjab Kings,Punjab Kings won by 7 wickets
"Newlands,",Kolkata Knight Riders,Rajasthan Royals,Royals won the one-over eliminator
"Newlands,",Chennai Super Kings,Delhi Daredevils,Delhi Daredevils won by 9 runs
"Newlands,",Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers won by 24 runs
,Mumbai Indians,Rajasthan Royals,Match abandoned without a ball bowled
,Punjab Kings,Kolkata Knight Riders,KKR won by 11 runs (D/L method)
,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings won by 92 runs
,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers won by 8 wickets
,Delhi Daredevils,Punjab Kings,DD won by 10 wickets (D/L method)
,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore won by 75 runs
,Chennai Super Kings,Mumbai Indians,Mumbai Indians won by 19 runs
