Stadium,Team1,Team2,Won
"Narendra Modi Stadium,",Gujarat Titans,Rajasthan Royals,Gujarat Titans Won by 7  Wickets (Winners)
"Narendra Modi Stadium,",Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals Won by 7 Wickets (Qualified)
"Eden Gardens,",Lucknow Super Giants,Royal Challengers Bangalore,Royal Challengers Bangalore Won by 14 Runs (Qualified)
"Eden Gardens,",Gujarat Titans,Rajasthan Royals,Gujarat Titans Won by 7  Wickets (Qualified)
"Wankhede Stadium,",Sunrisers Hyderabad,Punjab Kings,Punjab Kings Won by 5  Wickets 
"Wankhede Stadium,",Mumbai Indians,Delhi Capitals,Mumbai Indians Won by 5  Wickets 
"Brabourne - CCI,",Rajasthan Royals,Chennai Super Kings,Rajasthan Royals Won by 5  Wickets 
"Wankhede Stadium,",Royal Challengers Bangalore,Gujarat Titans,Royal Challengers Bangalore Won by 8  Wickets 
"DY Patil Stadium,",Kolkata Knight Riders,Lucknow Super Giants,Lucknow Super Giants Won by 2 Runs 
"Wankhede Stadium,",Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad Won by 3  Runs 
"DY Patil Stadium,",Punjab Kings,Delhi Capitals,Delhi Capitals Won by 17  Runs 
"Brabourne - CCI,",Lucknow Super Giants,Rajasthan Royals,Rajasthan Royals Won by 24  Runs 
"Wankhede Stadium,",Chennai Super Kings,Gujarat Titans,Gujarat Titans Won by 7  Wickets 
"Maharashtra Cricket Association Stadium,",Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders Won by 54 Runs 
"Brabourne - CCI,",Royal Challengers Bangalore,Punjab Kings,Punjab Kings Won by 54  Runs 
"Wankhede Stadium,",Chennai Super Kings,Mumbai Indians,Mumbai Indians Won by 5  Wickets 
"DY Patil Stadium,",Rajasthan Royals,Delhi Capitals,Delhi Capitals Won by 8 Wickets 
"Maharashtra Cricket Association Stadium,",Lucknow Super Giants,Gujarat Titans,Gujarat Titans Won by 62  Runs 
"DY Patil Stadium,",Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders Won by 52  Runs 
"DY Patil Stadium,",Chennai Super Kings,Delhi Capitals,Chennai Super Kings Won by 91  Runs 
"Wankhede Stadium,",Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore Won by 67  Runs 
"Maharashtra Cricket Association Stadium,",Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants Won by 75  Runs 
"Wankhede Stadium,",Punjab Kings,Rajasthan Royals,Rajasthan Royals Won by 6  Wickets 
"Brabourne - CCI,",Gujarat Titans,Mumbai Indians,Mumbai Indians Won by 5  Runs 
"Brabourne - CCI,",Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals Won by 21  Runs 
"Maharashtra Cricket Association Stadium,",Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore Won by 13  Runs 
"DY Patil Stadium,",Gujarat Titans,Punjab Kings,Punjab Kings Won by 8  Wickets 
"Wankhede Stadium,",Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders Won by 7  Wickets 
"Maharashtra Cricket Association Stadium,",Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings Won by 13  Runs 
"Wankhede Stadium,",Delhi Capitals,Lucknow Super Giants,Lucknow Super Giants Won by 6  Runs 
"DY Patil Stadium,",Rajasthan Royals,Mumbai Indians,Mumbai Indians Won by 5  Wickets 
"Brabourne - CCI,",Gujarat Titans,Royal Challengers Bangalore,Gujarat Titans Won by 6  Wickets 
"Maharashtra Cricket Association Stadium,",Punjab Kings,Lucknow Super Giants,Lucknow Super Giants Won by 20  Runs 
