Stadium,Team1,Team2,Won
"Wankhede Stadium,",Delhi Capitals,Kolkata Knight Riders,Delhi Capitals Won by 4  Wickets 
"Wankhede Stadium,",Gujarat Titans,Sunrisers Hyderabad,Gujarat Titans Won by 5  Wickets 
"Maharashtra Cricket Association Stadium,",Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals Won by 29  Runs 
"Wankhede Stadium,",Punjab Kings,Chennai Super Kings,Punjab Kings Won by 11  Runs 
"Wankhede Stadium,",Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants Won by 36  Runs 
"Brabourne - CCI,",Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad Won by 9  Wickets 
"DY Patil Stadium,",Kolkata Knight Riders,Gujarat Titans,Gujarat Titans Won by 8  Runs 
"Wankhede Stadium,",Delhi Capitals,Rajasthan Royals,Rajasthan Royals Won by 15  Runs 
"DY Patil Stadium,",Mumbai Indians,Chennai Super Kings,Chennai Super Kings Won by 3  Wickets 
"Brabourne - CCI,",Delhi Capitals,Punjab Kings,Delhi Capitals Won by 9  Wickets 
"DY Patil Stadium,",Lucknow Super Giants,Royal Challengers Bangalore,Royal Challengers Bangalore Won by 18  Runs 
"Brabourne - CCI,",Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals Won by 7  Runs 
"Maharashtra Cricket Association Stadium,",Gujarat Titans,Chennai Super Kings,Gujarat Titans Won by 3 Wickets 
"DY Patil Stadium,",Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad Won by 7  Wickets 
"Wankhede Stadium,",Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore Won by 16 Runs 
"Brabourne - CCI,",Mumbai Indians,Lucknow Super Giants,Lucknow Super Giants Won by 18 Runs 
"Brabourne - CCI,",Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad Won by 7  Wickets 
"DY Patil Stadium,",Rajasthan Royals,Gujarat Titans,Gujarat Titans Won by 37  Runs 
"Maharashtra Cricket Association Stadium,",Mumbai Indians,Punjab Kings,Punjab Kings Won by 12  Runs 
"DY Patil Stadium,",Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings Won by 23  Runs 
"DY Patil Stadium,",Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad Won by 8  Wickets 
"Wankhede Stadium,",Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals Won by 3  Runs 
"Brabourne - CCI,",Kolkata Knight Riders,Delhi Capitals,Delhi Capitals Won by 44  Runs 
"Maharashtra Cricket Association Stadium,",Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore Won by 7  Wickets 
"DY Patil Stadium,",Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad Won by 8  Wickets 
"Brabourne - CCI,",Punjab Kings,Gujarat Titans,Gujarat Titans Won by 6 Wickets 
"DY Patil Stadium,",Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants Won by 6  Wickets 
"Maharashtra Cricket Association Stadium,",Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders Won by 5 Wickets 
"Wankhede Stadium,",Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore Won by 4  Wickets 
"DY Patil Stadium,",Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants Won by 12  Runs 
"Brabourne - CCI,",Chennai Super Kings,Punjab Kings,Punjab Kings Won by 54  Runs 
"Maharashtra Cricket Association Stadium,",Gujarat Titans,Delhi Capitals,Gujarat Titans Won by 14  Runs 
"DY Patil Stadium,",Mumbai Indians,Rajasthan Royals,Rajasthan Royals Won by 23  Runs 
"Wankhede Stadium,",Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders Won by 6  Wickets 
"Brabourne - CCI,",Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants Won by 6  Wickets 
"DY Patil Stadium,",Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore Won by 3  Wickets 
"Maharashtra Cricket Association Stadium,",Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals Won by 61  Runs 
"Wankhede Stadium,",Gujarat Titans,Lucknow Super Giants,Gujarat Titans Won by 5  Wickets 
"DY Patil Stadium,",Royal Challengers Bangalore,Punjab Kings,Punjab Kings Won by 5   Wickets 
"Brabourne - CCI,",Delhi Capitals,Mumbai Indians,Delhi Capitals Won by 4  Wickets 
"Wankhede Stadium,",Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders Won by 6  Wickets 
