Stadium,Team1,Team2,Won
"Dubai International Stadium,",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings won by 27 runs
"Sharjah Cricket Stadium,",Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders won by 3 wickets
"Sharjah Cricket Stadium,",Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders won by 4 wickets
"Dubai International Stadium,",Delhi Capitals,Chennai Super Kings,Chennai Super Kings won by 4 wickets
"Dubai International Stadium,",Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore won by 7 wickets
"Zayed Cricket Stadium,",Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians won by 42 runs
"Sharjah Cricket Stadium,",Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders won by 86 runs
"Dubai International Stadium,",Chennai Super Kings,Punjab Kings,Punjab Kings won by 6 wickets
"Zayed Cricket Stadium,",Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad won by 4 runs
"Sharjah Cricket Stadium,",Rajasthan Royals,Mumbai Indians,Mumbai Indians won by 8 wickets
"Dubai International Stadium,",Delhi Capitals,Chennai Super Kings,Delhi Capitals won by 3 wickets
"Dubai International Stadium,",Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders won by 6 wickets
"Sharjah Cricket Stadium,",Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore won by 6 runs
"Zayed Cricket Stadium,",Rajasthan Royals,Chennai Super Kings,Rajasthan Royals won by 7 wickets
"Sharjah Cricket Stadium,",Mumbai Indians,Delhi Capitals,Delhi Capitals won by 4 wickets
"Dubai International Stadium,",Kolkata Knight Riders,Punjab Kings,Punjab Kings won by 5 wickets
"Sharjah Cricket Stadium,",Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings won by 6 wickets
"Dubai International Stadium,",Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore won by 7 wickets
"Zayed Cricket Stadium,",Mumbai Indians,Punjab Kings,Mumbai Indians won by 6 wickets
"Sharjah Cricket Stadium,",Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders won by 3 wickets
"Dubai International Stadium,",Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad won by 7 wickets
"Dubai International Stadium,",Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore won by 54 runs
"Zayed Cricket Stadium,",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings won by 2 wickets
"Sharjah Cricket Stadium,",Sunrisers Hyderabad,Punjab Kings,Punjab Kings won by 5 runs
"Zayed Cricket Stadium,",Delhi Capitals,Rajasthan Royals,Delhi Capitals won by 33 runs
"Sharjah Cricket Stadium,",Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings won by 6 wickets
"Zayed Cricket Stadium,",Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders won by 7 wickets
"Dubai International Stadium,",Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals won by 8 wickets
"Dubai International Stadium,",Punjab Kings,Rajasthan Royals,Rajasthan Royals won by 2 runs
"Zayed Cricket Stadium,",Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders won by 9 wickets
"Dubai International Stadium,",Chennai Super Kings,Mumbai Indians,Chennai Super Kings won by 20 runs
"Narendra Modi Stadium,",Punjab Kings,Delhi Capitals,Delhi Capitals won by 7 wickets
"Arun Jaitley Stadium,",Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals won by 55 runs
"Arun Jaitley Stadium,",Mumbai Indians,Chennai Super Kings,Mumbai Indians won by 4 wickets
"Narendra Modi Stadium,",Punjab Kings,Royal Challengers Bangalore,Punjab Kings won by 34 runs
"Narendra Modi Stadium,",Delhi Capitals,Kolkata Knight Riders,Delhi Capitals won by 7 wickets
"Arun Jaitley Stadium,",Mumbai Indians,Rajasthan Royals,Mumbai Indians won by 7 wickets
"Arun Jaitley Stadium,",Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings won by 7 wickets
"Narendra Modi Stadium,",Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore won by 1 run
"Narendra Modi Stadium,",Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders won by 5 wickets
"M. A. Chidambaram Stadium,",Sunrisers Hyderabad,Delhi Capitals,Match tied (Delhi Capitals won the Super Over)
"Wankhede Stadium,",Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings won by 69 runs
"Wankhede Stadium,",Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals won by 6 wickets
"M. A. Chidambaram Stadium,",Punjab Kings,Mumbai Indians,Punjab Kings won by 9 wickets
"Wankhede Stadium,",Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore won by 10 wickets
"Wankhede Stadium,",Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings won by 18 runs
"M. A. Chidambaram Stadium,",Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad won by 9 wickets
"M. A. Chidambaram Stadium,",Delhi Capitals,Mumbai Indians,Delhi Capitals won by 6 wickets
"Wankhede Stadium,",Chennai Super Kings,Rajasthan Royals,Chennai Super Kings won by 45 runs
"Wankhede Stadium,",Delhi Capitals,Punjab Kings,Delhi Capitals won by 6 wickets
"M. A. Chidambaram Stadium,",Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore won by 38 runs
"M. A. Chidambaram Stadium,",Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians won by 13 runs
"Wankhede Stadium,",Punjab Kings,Chennai Super Kings,Chennai Super Kings won by 6 wickets
"Wankhede Stadium,",Rajasthan Royals,Delhi Capitals,Rajasthan Royals won by 3 wickets
"M. A. Chidambaram Stadium,",Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore won by 6 runs
"M. A. Chidambaram Stadium,",Kolkata Knight Riders,Mumbai Indians,Mumbai Indians won by 10 runs
"Wankhede Stadium,",Rajasthan Royals,Punjab Kings,Punjab Kings won by 4 runs
"M. A. Chidambaram Stadium,",Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders won by 10 runs
"Wankhede Stadium,",Chennai Super Kings,Delhi Capitals,Delhi Capitals won by 7 wickets
"M. A. Chidambaram Stadium,",Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore won by 2 wickets
