Stadium,Team1,Team2,Won
"Wankhede Stadium,",Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings won by 8 wickets
"Eden Gardens,",Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad won by 14 runs
"Eden Gardens,",Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders won by 25 runs
"Wankhede Stadium,",Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings won by 2 wickets
"Arun Jaitley Stadium,",Chennai Super Kings,Punjab Kings,Chennai Super Kings won by 5 wickets
"Rajiv Gandhi Intl. Cricket Stadium,",Delhi Daredevils,Mumbai Indians,Delhi Daredevils won by 11 runs
"Sawai Mansingh Stadium,",Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders won by 5 wickets
"Arun Jaitley Stadium,",Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals won by 30 runs
"M. Chinnaswamy Stadium,",Delhi Daredevils,Chennai Super Kings,Delhi Daredevils won by 34 runs
"Wankhede Stadium,",Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore won by 14 runs
"Eden Gardens,",Mumbai Indians,Punjab Kings,Mumbai Indians won by 3 runs
"Holkar Cricket Stadium,",Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders won by 6 wickets
"Wankhede Stadium,",Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore won by 10 wickets
"Arun Jaitley Stadium,",Mumbai Indians,Rajasthan Royals,Rajasthan Royals won by 7 wickets
"Holkar Cricket Stadium,",Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings won by 8 wickets
"Sawai Mansingh Stadium,",Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore won by 5 wickets
"Arun Jaitley Stadium,",Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders won by 31 runs
"Eden Gardens,",Rajasthan Royals,Chennai Super Kings,Rajasthan Royals won by 4 wickets
"Sawai Mansingh Stadium,",Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad won by 9 wickets
"Rajiv Gandhi Intl. Cricket Stadium,",Kolkata Knight Riders,Mumbai Indians,Mumbai Indians won by 102 runs
"Holkar Cricket Stadium,",Rajasthan Royals,Punjab Kings,Rajasthan Royals won by 15 runs
"Wankhede Stadium,",Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad won by 5 runs
"Rajiv Gandhi Intl. Cricket Stadium,",Punjab Kings,Rajasthan Royals,Punjab Kings won by 6 wickets
"Holkar Cricket Stadium,",Mumbai Indians,Kolkata Knight Riders,Mumbai Indians won by 13 runs
"Eden Gardens,",Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad won by 7 wickets
"Arun Jaitley Stadium,",Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings won by 6 wickets
"M. Chinnaswamy Stadium,",Punjab Kings,Mumbai Indians,Mumbai Indians won by 6 wickets
"M. Chinnaswamy Stadium,",Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders won by 6 wickets
"Sawai Mansingh Stadium,",Delhi Daredevils,Rajasthan Royals,Delhi Daredevils won by 4 runs (DLS Method)
"Arun Jaitley Stadium,",Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore won by 14 runs
"Rajiv Gandhi Intl. Cricket Stadium,",Chennai Super Kings,Delhi Daredevils,Chennai Super Kings won by 13 runs
"M. Chinnaswamy Stadium,",Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders won by 6 wickets
"Wankhede Stadium,",Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad won by 11 runs
"Arun Jaitley Stadium,",Chennai Super Kings,Mumbai Indians,Mumbai Indians won by 8 wickets
"Sawai Mansingh Stadium,",Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils won by 55 runs
"Rajiv Gandhi Intl. Cricket Stadium,",Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad won by 13 runs
"M. Chinnaswamy Stadium,",Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings won by 5 wickets
"Eden Gardens,",Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad won by 31 runs
"IS Bindra Stadium,",Delhi Daredevils,Punjab Kings,Punjab Kings won by 4 runs
