Stadium,Team1,Team2,Won
"Sawai Mansingh Stadium,",Rajasthan Royals,Mumbai Indians,Rajasthan Royals won by 3 wickets
"Wankhede Stadium,",Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings won by 4 runs
"Eden Gardens,",Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore won by 6 wickets
"IS Bindra Stadium,",Kolkata Knight Riders,Punjab Kings,Kings XI Punjab won by 9 wickets (DLS Method)
"M. Chinnaswamy Stadium,",Chennai Super Kings,Rajasthan Royals,Chennai Super Kings won by 64 runs
"Eden Gardens,",Punjab Kings,Sunrisers Hyderabad,Punjab Kings won by 15 runs
"Wankhede Stadium,",Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders won by 7 wickets
"M. Chinnaswamy Stadium,",Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians won by 46 runs
"Rajiv Gandhi Intl. Cricket Stadium,",Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders won by 71 runs
"Sawai Mansingh Stadium,",Punjab Kings,Chennai Super Kings,Punjab Kings won by 4 runs
"M. A. Chidambaram Stadium,",Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals won by 19 runs
"Rajiv Gandhi Intl. Cricket Stadium,",Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad won by 5 wickets
"Eden Gardens,",Mumbai Indians,Delhi Daredevils,Delhi Daredevils won by 7 wickets
"IS Bindra Stadium,",Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore won by 4 wickets
"Wankhede Stadium,",Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad won by 1 wicket
,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals won by 10 runs (DLS Method)
,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings won by 5 wickets
,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad won by 9 wickets
,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders won by 4 wickets
,Punjab Kings,Delhi Daredevils,Punjab Kings won by 6 wickets
,Mumbai Indians,Chennai Super Kings,Chennai Super Kings won by 1 wicket
