Stadium,Team1,Team2,Won
"M. Chinnaswamy Stadium,",Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders won by 3 wickets
"Wankhede Stadium,",Punjab Kings,Chennai Super Kings,Punjab Kings won by 24 runs
"Brabourne Stadium,",Chennai Super Kings,Mumbai Indians,Chennai Super Kings won by 7 wickets
"Eden Gardens,",Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders won by 28 runs
"Wankhede Stadium,",Mumbai Indians,Rajasthan Royals,Mumbai Indians won by 5 wickets
"IS Bindra Stadium,",Punjab Kings,Delhi Daredevils,Punjab Kings won by 7 wickets
"Eden Gardens,",Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders won by 4 wickets
"M. Chinnaswamy Stadium,",Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings won by 8 wickets
"IS Bindra Stadium,",Punjab Kings,Rajasthan Royals,Punjab Kings won by 16 runs
"Wankhede Stadium,",Mumbai Indians,Delhi Daredevils,Mumbai Indians won by 15 runs
"JSCA International Cricket Stadium,",Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad won by 6 wickets
"Eden Gardens,",Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders won by 30 runs
"IS Bindra Stadium,",Punjab Kings,Mumbai Indians,Mumbai Indians won by 7 wickets
"Eden Gardens,",Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders won by 8 wickets
"Rajiv Gandhi Intl. Cricket Stadium,",Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad won by 7 wickets
"Arun Jaitley Stadium,",Delhi Daredevils,Punjab Kings,Punjab Kings won by 4 wickets
"Narendra Modi Stadium,",Rajasthan Royals,Mumbai Indians,Mumbai Indians won by 25 runs
"Rajiv Gandhi Intl. Cricket Stadium,",Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders won by 7 wickets
"JSCA International Cricket Stadium,",Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore won by 5 wickets
"Narendra Modi Stadium,",Rajasthan Royals,Delhi Daredevils,Rajasthan Royals won by 62 runs
"Barabati Stadium,",Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders won by 6 wickets
"Rajiv Gandhi Intl. Cricket Stadium,",Sunrisers Hyderabad,Punjab Kings,Punjab Kings won by 6 wickets
"M. Chinnaswamy Stadium,",Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore won by 16 runs
"JSCA International Cricket Stadium,",Chennai Super Kings,Rajasthan Royals,Chennai Super Kings won by 5 wickets
"Rajiv Gandhi Intl. Cricket Stadium,",Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians won by 7 wickets
"M. Chinnaswamy Stadium,",Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals won by 5 wickets
"Barabati Stadium,",Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders won by 9 wickets
"Wankhede Stadium,",Mumbai Indians,Chennai Super Kings,Chennai Super Kings won by 4 wickets
"Arun Jaitley Stadium,",Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad won by 8 wickets (D/L Method)
"M. Chinnaswamy Stadium,",Royal Challengers Bangalore,Punjab Kings,Punjab Kings won by 32 runs
"Narendra Modi Stadium,",Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad won by 32 runs
"Barabati Stadium,",Punjab Kings,Chennai Super Kings,Punjab Kings won by 44 runs
"Arun Jaitley Stadium,",Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders won by 8 wickets
"Wankhede Stadium,",Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians won by 19 runs
"Arun Jaitley Stadium,",Delhi Daredevils,Chennai Super Kings,Chennai Super Kings won by 8 wickets
"Narendra Modi Stadium,",Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals won by 10 runs
"M. Chinnaswamy Stadium,",Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore won by 4 wickets
"Arun Jaitley Stadium,",Delhi Daredevils,Rajasthan Royals,Rajasthan Royals won by 7 wickets
"Wankhede Stadium,",Mumbai Indians,Punjab Kings,Mumbai Indians won by 5 wickets
"JSCA International Cricket Stadium,",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings won by 34 runs
"Dubai International Cricket Stadium,",Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad won by 15 runs
"Sheikh Zayed Cricket Stadium,",Kolkata Knight Riders,Rajasthan Royals,Match Tied (Rajasthan Royals won Super Over)
"Dubai International Cricket Stadium,",Punjab Kings,Royal Challengers Bangalore,Punjab Kings won by 5 wickets
"Sharjah Cricket Stadium,",Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings won by 5 wickets
"Sharjah Cricket Stadium,",Delhi Daredevils,Mumbai Indians,Delhi Daredevils won by 6 wickets
"Sheikh Zayed Cricket Stadium,",Kolkata Knight Riders,Punjab Kings,Punjab Kings won by 23 runs
"Sheikh Zayed Cricket Stadium,",Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals won by 6 wickets
"Dubai International Cricket Stadium,",Chennai Super Kings,Mumbai Indians,Chennai Super Kings won by 7 wickets
"Dubai International Cricket Stadium,",Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad won by 4 runs
"Sharjah Cricket Stadium,",Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders won by 2 runs
"Dubai International Cricket Stadium,",Rajasthan Royals,Chennai Super Kings,Chennai Super Kings won by 7 runs
"Sharjah Cricket Stadium,",Punjab Kings,Sunrisers Hyderabad,Punjab Kings won by 72 runs
"Sheikh Zayed Cricket Stadium,",Chennai Super Kings,Delhi Daredevils,Chennai Super Kings won by 93 runs
"Sharjah Cricket Stadium,",Rajasthan Royals,Punjab Kings,Punjab Kings won by 7 wickets
"Dubai International Cricket Stadium,",Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils won by 4 wickets
"Dubai International Cricket Stadium,",Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore won by 7 wickets
"Sheikh Zayed Cricket Stadium,",Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals won by 4 wickets
"Sheikh Zayed Cricket Stadium,",Chennai Super Kings,Punjab Kings,Punjab Kings won by 6 wickets
"Sharjah Cricket Stadium,",Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore won by 8 wickets
"Sheikh Zayed Cricket Stadium,",Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders won by 41 runs
