Stadium,Team1,Team2,Won
"M. Chinnaswamy Stadium,",Royal Challengers Bangalore,Pune Warriors India,Royal Challengers Bangalore won by 26 runs
"Sawai Mansingh Stadium,",Rajasthan Royals,Mumbai Indians,Rajasthan Royals won by 7 wickets
"Arun Jaitley Stadium,",Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders won by 17 runs
"Jawaharlal Nehru Stadium,",Kochi Tuskers Kerala,Deccan Chargers,Deccan Chargers won by 55 runs
"DY Patil Stadium,",Pune Warriors India,Chennai Super Kings,Chennai Super Kings won by 8 wickets
"Arun Jaitley Stadium,",Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore won by 3 wickets
"M. A. Chidambaram Stadium,",Chennai Super Kings,Pune Warriors India,Chennai Super Kings won by 25 runs
"Sawai Mansingh Stadium,",Rajasthan Royals,Kochi Tuskers Kerala,Rajasthan Royals won by 8 wickets
"Rajiv Gandhi Intl. Cricket Stadium,",Deccan Chargers,Mumbai Indians,Mumbai Indians won by 37 runs
"Arun Jaitley Stadium,",Delhi Daredevils,Punjab Kings,Delhi Daredevils won by 29 runs
"Wankhede Stadium,",Mumbai Indians,Chennai Super Kings,Mumbai Indians won by 8 runs
"Eden Gardens,",Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore won by 9 wickets
"IS Bindra Stadium,",Punjab Kings,Rajasthan Royals,Punjab Kings won by 48 runs
"Eden Gardens,",Kolkata Knight Riders,Kochi Tuskers Kerala,Kochi Tuskers Kerala won by 6 runs
"Wankhede Stadium,",Mumbai Indians,Pune Warriors India,Mumbai Indians won by 7 wickets
"M. Chinnaswamy Stadium,",Royal Challengers Bangalore,Rajasthan Royals,Match abandoned without a ball bowled
"Arun Jaitley Stadium,",Delhi Daredevils,Deccan Chargers,Deccan Chargers won by 16 runs
"Jawaharlal Nehru Stadium,",Kochi Tuskers Kerala,Chennai Super Kings,KTK won by 7 wickets (D/L method)
"Eden Gardens,",Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders won by 8 wickets
"DY Patil Stadium,",Pune Warriors India,Delhi Daredevils,Delhi Daredevils won by 3 wickets
"Rajiv Gandhi Intl. Cricket Stadium,",Deccan Chargers,Punjab Kings,Punjab Kings won by 8 wickets
"M. A. Chidambaram Stadium,",Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings won by 21 runs
"Wankhede Stadium,",Mumbai Indians,Kochi Tuskers Kerala,Kochi Tuskers Kerala won by 8 wickets
"Sawai Mansingh Stadium,",Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders won by 9 wickets
"Rajiv Gandhi Intl. Cricket Stadium,",Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers won by 33 runs
"DY Patil Stadium,",Pune Warriors India,Kochi Tuskers Kerala,Pune Warriors India won by 4 wickets
"IS Bindra Stadium,",Punjab Kings,Chennai Super Kings,Punjab Kings won by 6 wickets
"M. Chinnaswamy Stadium,",Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians won by 9 wickets
"Sawai Mansingh Stadium,",Rajasthan Royals,Delhi Daredevils,Rajasthan Royals won by 6 wickets
"Eden Gardens,",Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders won by 9 runs
"DY Patil Stadium,",Pune Warriors India,Punjab Kings,Pune Warriors India won by 7 wickets
"Arun Jaitley Stadium,",Delhi Daredevils,Mumbai Indians,Mumbai Indians won by 8 wickets
"Jawaharlal Nehru Stadium,",Kochi Tuskers Kerala,Royal Challengers Bangalore,Royal Challengers Bangalore won by 6 wickets
"Rajiv Gandhi Intl. Cricket Stadium,",Deccan Chargers,Rajasthan Royals,Rajasthan Royals won by 8 wickets
"M. A. Chidambaram Stadium,",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings won by 2 runs
