Stadium,Team1,Team2,Won
"M. A. Chidambaram Stadium,",Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings won by 58 runs
"M. A. Chidambaram Stadium,",Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore won by 43 runs
"Wankhede Stadium,",Kolkata Knight Riders,Mumbai Indians,Mumbai Indians won by 4 wickets
"Wankhede Stadium,",Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings won by 6 wickets
"Eden Gardens,",Kolkata Knight Riders,Mumbai Indians,Mumbai Indians won by 5 wickets
"M. Chinnaswamy Stadium,",Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore won by 8 wickets
"Arun Jaitley Stadium,",Delhi Daredevils,Pune Warriors India,No result
"HPCA Stadium,",Punjab Kings,Deccan Chargers,Deccan Chargers won by 82 runs
"Wankhede Stadium,",Mumbai Indians,Rajasthan Royals,Rajasthan Royals won by 10 wickets
"DY Patil Stadium,",Pune Warriors India,Kolkata Knight Riders,Kolkata Knight Riders won by 7 wickets
"M. A. Chidambaram Stadium,",Chennai Super Kings,Kochi Tuskers Kerala,Chennai Super Kings won by 11 runs
"HPCA Stadium,",Punjab Kings,Royal Challengers Bangalore,Punjab Kings won by 111 runs
"DY Patil Stadium,",Pune Warriors India,Deccan Chargers,Deccan Chargers won by 6 wickets
"Holkar Cricket Stadium,",Kochi Tuskers Kerala,Rajasthan Royals,Kochi Tuskers Kerala won by 8 wickets
"HPCA Stadium,",Punjab Kings,Delhi Daredevils,Punjab Kings won by 29 runs
"Wankhede Stadium,",Mumbai Indians,Deccan Chargers,Deccan Chargers won by 10 runs
"M. Chinnaswamy Stadium,",Royal Challengers Bangalore,Kolkata Knight Riders,RCB won by 4 wickets (D/L method)
"Holkar Cricket Stadium,",Kochi Tuskers Kerala,Punjab Kings,Punjab Kings won by 6 wickets
"M. A. Chidambaram Stadium,",Chennai Super Kings,Delhi Daredevils,Chennai Super Kings won by 18 runs
"Sawai Mansingh Stadium,",Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore won by 9 wickets
"IS Bindra Stadium,",Punjab Kings,Mumbai Indians,Punjab Kings won by 76 runs
"Rajiv Gandhi Intl. Cricket Stadium,",Deccan Chargers,Pune Warriors India,Pune Warriors India won by 6 wickets
"Sawai Mansingh Stadium,",Rajasthan Royals,Chennai Super Kings,Chennai Super Kings won by 63 runs
"IS Bindra Stadium,",Punjab Kings,Pune Warriors India,Pune Warriors India won by 5 wickets
"M. Chinnaswamy Stadium,",Royal Challengers Bangalore,Kochi Tuskers Kerala,Royal Challengers Bangalore won by 9 wickets
"Wankhede Stadium,",Mumbai Indians,Delhi Daredevils,Mumbai Indians won by 32 runs
"Eden Gardens,",Kolkata Knight Riders,Chennai Super Kings,KKR won by 10 runs (D/L method)
"M. Chinnaswamy Stadium,",Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore won by 85 runs
"Rajiv Gandhi Intl. Cricket Stadium,",Deccan Chargers,Delhi Daredevils,Delhi Daredevils won by 4 wickets
"Jawaharlal Nehru Stadium,",Kochi Tuskers Kerala,Kolkata Knight Riders,Kochi Tuskers Kerala won by 17 runs
"DY Patil Stadium,",Pune Warriors India,Mumbai Indians,Mumbai Indians won by 21 runs
"M. A. Chidambaram Stadium,",Chennai Super Kings,Rajasthan Royals,Chennai Super Kings won by 8 wickets
"Rajiv Gandhi Intl. Cricket Stadium,",Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders won by 20 runs
"Arun Jaitley Stadium,",Delhi Daredevils,Kochi Tuskers Kerala,Kochi Tuskers Kerala won by 7 wickets
"Wankhede Stadium,",Mumbai Indians,Punjab Kings,Mumbai Indians won by 23 runs
"M. A. Chidambaram Stadium,",Chennai Super Kings,Deccan Chargers,Chennai Super Kings won by 19 runs
"Sawai Mansingh Stadium,",Rajasthan Royals,Pune Warriors India,Rajasthan Royals won by 6 wickets
"Eden Gardens,",Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders won by 8 wickets
"Jawaharlal Nehru Stadium,",Kochi Tuskers Kerala,Delhi Daredevils,Delhi Daredevils won by 38 runs
