Stadium,Team1,Team2,Won
"M. A. Chidambaram Stadium,",Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders won by 5 wickets
"M. A. Chidambaram Stadium,",Chennai Super Kings,Delhi Daredevils,Chennai Super Kings won by 86 runs
"M. Chinnaswamy Stadium,",Mumbai Indians,Chennai Super Kings,Chennai Super Kings won by 38 runs
"Sawai Mansingh Stadium,",Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders won by 18 runs
"Rajiv Gandhi Intl. Cricket Stadium,",Rajasthan Royals,Mumbai Indians,Mumbai Indians won by 10 wickets
"HPCA Stadium,",Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers won by 9 runs
"Rajiv Gandhi Intl. Cricket Stadium,",Pune Warriors India,Kolkata Knight Riders,Kolkata Knight Riders won by 34 runs
"Arun Jaitley Stadium,",Punjab Kings,Delhi Daredevils,Delhi Daredevils won by 6 wickets
"HPCA Stadium,",Deccan Chargers,Rajasthan Royals,Deccan Chargers won by 5 wickets
"Wankhede Stadium,",Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore won by 21 runs
"Arun Jaitley Stadium,",Punjab Kings,Chennai Super Kings,Punjab Kings won by 6 wickets
"Eden Gardens,",Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders won by 32 runs
"M. Chinnaswamy Stadium,",Delhi Daredevils,Punjab Kings,Delhi Daredevils won by 5 wickets
"IS Bindra Stadium,",Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings won by 5 wickets
"Sawai Mansingh Stadium,",Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians won by 5 wickets
"M. A. Chidambaram Stadium,",Punjab Kings,Deccan Chargers,Punjab Kings won by 4 wickets
"Eden Gardens,",Rajasthan Royals,Pune Warriors India,Rajasthan Royals won by 45 runs
"Sawai Mansingh Stadium,",Chennai Super Kings,Delhi Daredevils,Chennai Super Kings won by 9 wickets
"Rajiv Gandhi Intl. Cricket Stadium,",Kolkata Knight Riders,Mumbai Indians,Mumbai Indians won by 27 runs
"Wankhede Stadium,",Pune Warriors India,Royal Challengers Bangalore,Royal Challengers Bangalore won by 35 runs
"Rajiv Gandhi Intl. Cricket Stadium,",Rajasthan Royals,Chennai Super Kings,Chennai Super Kings won by 4 wickets
"Arun Jaitley Stadium,",Deccan Chargers,Delhi Daredevils,Delhi Daredevils won by 9 wickets
"M. Chinnaswamy Stadium,",Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore won by 9 wickets
"Wankhede Stadium,",Deccan Chargers,Punjab Kings,Punjab Kings won by 25 runs
"IS Bindra Stadium,",Pune Warriors India,Rajasthan Royals,Rajasthan Royals won by 7 wickets
"Eden Gardens,",Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders won by 6 wickets
"M. A. Chidambaram Stadium,",Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore won by 5 wickets
"M. Chinnaswamy Stadium,",Mumbai Indians,Chennai Super Kings,Mumbai Indians won by 2 wickets
"Sawai Mansingh Stadium,",Punjab Kings,Rajasthan Royals,Rajasthan Royals won by 43 runs
"Barabati Stadium,",Kolkata Knight Riders,Pune Warriors India,Kolkata Knight Riders won by 7 runs
"M. A. Chidambaram Stadium,",Chennai Super Kings,Deccan Chargers,Chennai Super Kings won by 10 runs
"Wankhede Stadium,",Pune Warriors India,Mumbai Indians,Mumbai Indians won by 1 run
"Arun Jaitley Stadium,",Royal Challengers Bangalore,Punjab Kings,Punjab Kings won by 4 wickets
"Eden Gardens,",Rajasthan Royals,Delhi Daredevils,Delhi Daredevils won by 6 wickets
"M. A. Chidambaram Stadium,",Deccan Chargers,Pune Warriors India,Deccan Chargers won by 13 runs
"Arun Jaitley Stadium,",Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders won by 5 wickets
"M. Chinnaswamy Stadium,",Mumbai Indians,Deccan Chargers,Mumbai Indians won by 5 wickets
"IS Bindra Stadium,",Delhi Daredevils,Rajasthan Royals,Delhi Daredevils won by 1 run
