Stadium,Team1,Team2,Won
"Eden Gardens,",Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders won by 47 runs
"Sawai Mansingh Stadium,",Chennai Super Kings,Punjab Kings,Punjab Kings won by 7 runs
"Barabati Stadium,",Delhi Daredevils,Mumbai Indians,Delhi Daredevils won by 37 runs
"Wankhede Stadium,",Pune Warriors India,Deccan Chargers,Deccan Chargers won by 18 runs
"Arun Jaitley Stadium,",Royal Challengers Bangalore,Chennai Super Kings,Match abandoned without a ball bowled
"M. A. Chidambaram Stadium,",Punjab Kings,Mumbai Indians,Mumbai Indians won by 4 wickets
"IS Bindra Stadium,",Kolkata Knight Riders,Deccan Chargers,Match abandoned without a ball bowled
"Arun Jaitley Stadium,",Pune Warriors India,Delhi Daredevils,Delhi Daredevils won by 8 wickets
"IS Bindra Stadium,",Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore won by 46 runs
"M. Chinnaswamy Stadium,",Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders won by 5 wickets
"Sawai Mansingh Stadium,",Mumbai Indians,Punjab Kings,Punjab Kings won by 6 wickets
"Wankhede Stadium,",Delhi Daredevils,Pune Warriors India,Pune Warriors India won by 20 runs
"M. Chinnaswamy Stadium,",Chennai Super Kings,Rajasthan Royals,Chennai Super Kings won by 7 wickets
"Eden Gardens,",Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore won by 5 wickets
"Eden Gardens,",Delhi Daredevils,Deccan Chargers,Delhi Daredevils won by 5 wickets
"IS Bindra Stadium,",Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders won by 8 wickets
"M. A. Chidambaram Stadium,",Royal Challengers Bangalore,Pune Warriors India,Royal Challengers Bangalore won by 6 wickets
"Wankhede Stadium,",Rajasthan Royals,Deccan Chargers,Rajasthan Royals won by 5 wickets
"Arun Jaitley Stadium,",Mumbai Indians,Delhi Daredevils,Delhi Daredevils won by 7 wickets
"M. Chinnaswamy Stadium,",Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals won by 59 runs
"ACA-VDCA Stadium,",Kolkata Knight Riders,Punjab Kings,Punjab Kings won by 2 runs
"Sawai Mansingh Stadium,",Pune Warriors India,Chennai Super Kings,Pune Warriors India won by 7 wickets
"ACA-VDCA Stadium,",Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders won by 5 wickets
"M. Chinnaswamy Stadium,",Punjab Kings,Pune Warriors India,Punjab Kings won by 7 wickets
"Sawai Mansingh Stadium,",Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings won by 5 wickets
"Wankhede Stadium,",Mumbai Indians,Rajasthan Royals,Mumbai Indians won by 27 runs
"Eden Gardens,",Delhi Daredevils,Chennai Super Kings,Delhi Daredevils won by 8 wickets
"M. A. Chidambaram Stadium,",Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders won by 42 runs
,Deccan Chargers,Mumbai Indians,Mumbai Indians won by 5 wickets
,Pune Warriors India,Punjab Kings,Pune Warriors India won by 22 runs
,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals won by 22 runs
,Deccan Chargers,Chennai Super Kings,Chennai Super Kings won by 74 runs
,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore won by 20 runs
,Rajasthan Royals,Punjab Kings,Rajasthan Royals won by 31 runs
,Mumbai Indians,Pune Warriors India,Pune Warriors India won by 28 runs
,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils won by 8 wickets
,Chennai Super Kings,Mumbai Indians,Mumbai Indians won by 8 wickets
