Stadium,Team1,Team2,Won
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,",Lucknow Super Giants,Royal Challengers Bangalore,Royal Challengers Bangalore Won by 18  Runs 
"Wankhede Stadium,",Mumbai Indians,Rajasthan Royals,Mumbai Indians Won by 6  Wickets 
"MA Chidambaram Stadium,",Chennai Super Kings,Punjab Kings,Punjab Kings Won by 4  Wickets 
"Arun Jaitley Stadium,",Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad Won by 9  Runs 
"Eden Gardens,",Kolkata Knight Riders,Gujarat Titans,Gujarat Titans Won by 7  Wickets 
"Punjab Cricket Association IS Bindra Stadium,",Punjab Kings,Lucknow Super Giants,Lucknow Super Giants Won by 56  Runs 
"Sawai Mansingh Stadium,",Rajasthan Royals,Chennai Super Kings,Rajasthan Royals Won by 32  Runs 
"M Chinnaswamy Stadium,",Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders Won by 21  Runs 
"Narendra Modi Stadium,",Gujarat Titans,Mumbai Indians,Gujarat Titans Won by 55  Runs 
"Rajiv Gandhi International Stadium,",Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals Won by 7  Runs 
"Eden Gardens,",Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings Won by 49  Runs 
"M Chinnaswamy Stadium,",Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore Won by 7  Runs 
"Wankhede Stadium,",Mumbai Indians,Punjab Kings,Punjab Kings Won by 13  Runs 
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,",Lucknow Super Giants,Gujarat Titans,Gujarat Titans Won by 7  Runs 
"MA Chidambaram Stadium,",Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings Won by 7  Wickets 
"Arun Jaitley Stadium,",Delhi Capitals,Kolkata Knight Riders,Delhi Capitals Won by 4  Wickets 
"Punjab Cricket Association IS Bindra Stadium,",Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore Won by 24  Runs 
"Sawai Mansingh Stadium,",Rajasthan Royals,Lucknow Super Giants,Lucknow Super Giants Won by 10  Runs 
"Rajiv Gandhi International Stadium,",Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians Won by 14  Runs 
"M Chinnaswamy Stadium,",Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings Won by 8  Runs 
"Narendra Modi Stadium,",Gujarat Titans,Rajasthan Royals,Rajasthan Royals Won by 3  Wickets 
"Wankhede Stadium,",Mumbai Indians,Kolkata Knight Riders,Mumbai Indians Won by 5  Wickets 
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,",Lucknow Super Giants,Punjab Kings,Punjab Kings Won by 2  Wickets 
"M Chinnaswamy Stadium,",Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore Won by 23  Runs 
"Eden Gardens,",Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad Won by 23  Runs 
"Punjab Cricket Association IS Bindra Stadium,",Punjab Kings,Gujarat Titans,Gujarat Titans Won by 6  Wickets 
"MA Chidambaram Stadium,",Chennai Super Kings,Rajasthan Royals,Rajasthan Royals Won by 3  Runs 
"Arun Jaitley Stadium,",Delhi Capitals,Mumbai Indians,Mumbai Indians Won by 6  Wickets 
"M Chinnaswamy Stadium,",Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants Won by 1  Wicket 
"Rajiv Gandhi International Stadium,",Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad Won by 8  Wickets 
"Narendra Modi Stadium,",Gujarat Titans,Kolkata Knight Riders,Kolkata Knight Riders Won by 3  Wickets 
"Wankhede Stadium,",Mumbai Indians,Chennai Super Kings,Chennai Super Kings Won by 7  Wickets 
"Barsapara Cricket Stadium,",Rajasthan Royals,Delhi Capitals,Rajasthan Royals Won by 57  Runs 
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,",Lucknow Super Giants,Sunrisers Hyderabad,Lucknow Super Giants Won by 5  Wickets 
"Eden Gardens,",Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders Won by 81  Runs 
"Barsapara Cricket Stadium,",Rajasthan Royals,Punjab Kings,Punjab Kings Won by 5  Runs 
"Arun Jaitley Stadium,",Delhi Capitals,Gujarat Titans,Gujarat Titans Won by 6  Wickets 
"MA Chidambaram Stadium,",Chennai Super Kings,Lucknow Super Giants,Chennai Super Kings Won by 12  Runs 
"M Chinnaswamy Stadium,",Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore Won by 8   Wickets 
"Rajiv Gandhi International Stadium,",Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals Won by 72  Runs 
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,",Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants Won by 50  Runs 
"Punjab Cricket Association IS Bindra Stadium,",Punjab Kings,Kolkata Knight Riders,Punjab Kings Won by 7  Runs  (D/L Method) 
"Narendra Modi Stadium,",Gujarat Titans,Chennai Super Kings,Gujarat Titans Won by 5  Wickets 
