Stadium,Team1,Team2,Won
"Narendra Modi Stadium,",Chennai Super Kings,Gujarat Titans,Chennai Super Kings Won by 5   Wickets   (D/L Method) (Winners)
"Narendra Modi Stadium,",Gujarat Titans,Mumbai Indians,Gujarat Titans Won by 62  Runs (Qualified)
"MA Chidambaram Stadium,",Lucknow Super Giants,Mumbai Indians,Mumbai Indians Won by 81  Runs (Qualified)
"MA Chidambaram Stadium,",Gujarat Titans,Chennai Super Kings,Chennai Super Kings Won by 15   Runs (Qualified)
"M Chinnaswamy Stadium,",Royal Challengers Bangalore,Gujarat Titans,Gujarat Titans Won by 6  Wickets 
"Wankhede Stadium,",Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians Won by 8  Wickets 
"Eden Gardens,",Kolkata Knight Riders,Lucknow Super Giants,Lucknow Super Giants Won by 1  Run 
"Arun Jaitley Stadium,",Delhi Capitals,Chennai Super Kings,Chennai Super Kings Won by 77  Runs 
"Himachal Pradesh Cricket Association Stadium,",Punjab Kings,Rajasthan Royals,Rajasthan Royals Won by 4  Wickets 
"Rajiv Gandhi International Stadium,",Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore Won by 8  Wickets 
"Himachal Pradesh Cricket Association Stadium,",Punjab Kings,Delhi Capitals,Delhi Capitals Won by 15  Runs 
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,",Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants Won by 5  Runs 
"Narendra Modi Stadium,",Gujarat Titans,Sunrisers Hyderabad,Gujarat Titans Won by 34  Runs
"MA Chidambaram Stadium,",Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders Won by 6  Wickets 
"Sawai Mansingh Stadium,",Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore Won by 112  Runs 
"Arun Jaitley Stadium,",Delhi Capitals,Punjab Kings,Punjab Kings Won by 31  Runs 
"Rajiv Gandhi International Stadium,",Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants Won by 7  Wickets 
"Wankhede Stadium,",Mumbai Indians,Gujarat Titans,Mumbai Indians Won by 27  Runs 
"Eden Gardens,",Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals Won by 9  Wickets 
"MA Chidambaram Stadium,",Chennai Super Kings,Delhi Capitals,Chennai Super Kings Won by 27  Runs 
"Wankhede Stadium,",Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians Won by 6  Wickets 
"Eden Gardens,",Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders Won by 5  Wickets 
"Sawai Mansingh Stadium,",Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad Won by 4  Wickets 
"Narendra Modi Stadium,",Gujarat Titans,Lucknow Super Giants,Gujarat Titans Won by 56  Runs 
"Arun Jaitley Stadium,",Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals Won by 7  Wickets 
"MA Chidambaram Stadium,",Chennai Super Kings,Mumbai Indians,Chennai Super Kings Won by 6  Wickets 
"Sawai Mansingh Stadium,",Rajasthan Royals,Gujarat Titans,Gujarat Titans Won by 9  Wickets 
"Rajiv Gandhi International Stadium,",Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders Won by 5  Runs 
"Punjab Cricket Association IS Bindra Stadium,",Punjab Kings,Mumbai Indians,Mumbai Indians Won by 6  Wickets 
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,",Lucknow Super Giants,Chennai Super Kings,No Result
"Narendra Modi Stadium,",Gujarat Titans,Delhi Capitals,Delhi Capitals Won by 5  Runs 
