Stadium,Team1,Team2,Won
"Dubai International Cricket Stadium,",Mumbai Indians,Delhi Capitals,Mumbai Indians won by 5 wickets
"Sheikh Zayed Cricket Stadium,",Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals won by 17 runs
"Sheikh Zayed Cricket Stadium,",Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad won by 6 wickets
"Dubai International Cricket Stadium,",Mumbai Indians,Delhi Capitals,Mumbai Indians won by 57 runs
"Sharjah Cricket Stadium,",Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad won by 10 wickets
"Sheikh Zayed Cricket Stadium,",Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals won by 6 wickets
"Dubai International Cricket Stadium,",Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders won by 60 runs
"Sheikh Zayed Cricket Stadium,",Chennai Super Kings,Punjab Kings,Chennai Super Kings won by 9 wickets
"Sharjah Cricket Stadium,",Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad won by 5 wickets
"Dubai International Cricket Stadium,",Delhi Capitals,Mumbai Indians,Mumbai Indians won by 9 wickets
"Sheikh Zayed Cricket Stadium,",Punjab Kings,Rajasthan Royals,Rajasthan Royals won by 7 wickets
"Dubai International Cricket Stadium,",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings won by 6 wickets
"Sheikh Zayed Cricket Stadium,",Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians won by 5 wickets
"Dubai International Cricket Stadium,",Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad won by 88 runs
"Sharjah Cricket Stadium,",Kolkata Knight Riders,Punjab Kings,Punjab Kings won by 8 wickets
"Sheikh Zayed Cricket Stadium,",Rajasthan Royals,Mumbai Indians,Rajasthan Royals won by 8 wickets
"Dubai International Cricket Stadium,",Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings won by 8 wickets
"Dubai International Cricket Stadium,",Punjab Kings,Sunrisers Hyderabad,Punjab Kings won by 12 runs
"Sheikh Zayed Cricket Stadium,",Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders won by 59 runs
"Sharjah Cricket Stadium,",Chennai Super Kings,Mumbai Indians,Mumbai Indians won by 10 wickets
"Dubai International Cricket Stadium,",Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad won by 8 wickets
"Sheikh Zayed Cricket Stadium,",Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore won by 8 wickets
"Dubai International Cricket Stadium,",Punjab Kings,Delhi Capitals,Punjab Kings won by 5 wickets
"Sheikh Zayed Cricket Stadium,",Chennai Super Kings,Rajasthan Royals,Rajasthan Royals won by 7 wickets
"Dubai International Cricket Stadium,",Mumbai Indians,Punjab Kings,Match tied (Kings XI Punjab won on second Super Over)
"Sheikh Zayed Cricket Stadium,",Sunrisers Hyderabad,Kolkata Knight Riders,Match tied (Kolkata Knight Riders won the Super Over)
"Sharjah Cricket Stadium,",Delhi Capitals,Chennai Super Kings,Delhi Capitals won by 5 wickets
"Dubai International Cricket Stadium,",Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore won by 7 wickets
"Sheikh Zayed Cricket Stadium,",Mumbai Indians,Kolkata Knight Riders,Mumbai Indians won by 8 wickets
"Sharjah Cricket Stadium,",Royal Challengers Bangalore,Punjab Kings,Punjab Kings won by 8 wickets
"Dubai International Cricket Stadium,",Delhi Capitals,Rajasthan Royals,Delhi Capitals won by 13 runs
"Dubai International Cricket Stadium,",Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings won by 20 runs
"Sharjah Cricket Stadium,",Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore won by 82 runs
"Sheikh Zayed Cricket Stadium,",Mumbai Indians,Delhi Capitals,Mumbai Indians won by 5 wickets
"Dubai International Cricket Stadium,",Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals won by 5 wickets
"Dubai International Cricket Stadium,",Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore won by 37 runs
"Sheikh Zayed Cricket Stadium,",Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders won by 2 runs
"Sharjah Cricket Stadium,",Rajasthan Royals,Delhi Capitals,Delhi Capitals won by 46 runs
"Dubai International Cricket Stadium,",Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad won by 69 runs
"Sheikh Zayed Cricket Stadium,",Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders won by 10 runs
"Sheikh Zayed Cricket Stadium,",Mumbai Indians,Rajasthan Royals,Mumbai Indians won by 57 runs
"Dubai International Cricket Stadium,",Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals won by 59 runs
"Dubai International Cricket Stadium,",Punjab Kings,Chennai Super Kings,Chennai Super Kings won by 10 wickets
"Sharjah Cricket Stadium,",Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians won by 34 runs
"Sharjah Cricket Stadium,",Delhi Capitals,Kolkata Knight Riders,Delhi Capitals won by 18 runs
"Sheikh Zayed Cricket Stadium,",Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore won by 8 wickets
"Dubai International Cricket Stadium,",Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad won by 7 runs
"Sheikh Zayed Cricket Stadium,",Punjab Kings,Mumbai Indians,Mumbai Indians won by 48 runs
"Dubai International Cricket Stadium,",Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders won by 37 runs
