Stadium,Team1,Team2,Won
"Sheikh Zayed Cricket Stadium,",Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad won by 15 runs
"Dubai International Cricket Stadium,",Royal Challengers Bangalore,Mumbai Indians,Match tied (Royal Challengers Bangalore won the Super Over)
"Sharjah Cricket Stadium,",Rajasthan Royals,Punjab Kings,Rajasthan Royals won by 4 wickets
"Sheikh Zayed Cricket Stadium,",Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders won by 7 wickets
"Dubai International Cricket Stadium,",Chennai Super Kings,Delhi Capitals,Delhi Capitals won by 44 runs
"Dubai International Cricket Stadium,",Punjab Kings,Royal Challengers Bangalore,Punjab Kings won by 97 runs
"Sheikh Zayed Cricket Stadium,",Kolkata Knight Riders,Mumbai Indians,Mumbai Indians won by 49 runs
"Sharjah Cricket Stadium,",Rajasthan Royals,Chennai Super Kings,Rajasthan Royals won by 16 runs
"Dubai International Cricket Stadium,",Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore won by 10 runs
"Dubai International Cricket Stadium,",Delhi Capitals,Punjab Kings,Match tied (Delhi Capitals won the Super Over)
"Sheikh Zayed Cricket Stadium,",Mumbai Indians,Chennai Super Kings,Chennai Super Kings won by 5 wickets
