Stadium,Team1,Team2,Won
"M. Chinnaswamy Stadium,",Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders won by 5 wickets
"Saurashtra Cricket Association Stadium,",Rising Pune Supergiant,Mumbai Indians,Mumbai Indians won by 8 wickets
"Rajiv Gandhi Intl. Cricket Stadium,",Gujarat Lions,Punjab Kings,Punjab Kings won by 23 runs
"Arun Jaitley Stadium,",Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad won by 15 runs
"Wankhede Stadium,",Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils won by 27 runs
"Arun Jaitley Stadium,",Rising Pune Supergiant,Gujarat Lions,Gujarat Lions won by 3 wickets
"Rajiv Gandhi Intl. Cricket Stadium,",Mumbai Indians,Kolkata Knight Riders,Mumbai Indians won by 6 wickets
"IS Bindra Stadium,",Delhi Daredevils,Gujarat Lions,Gujarat Lions won by 1 run
"Saurashtra Cricket Association Stadium,",Sunrisers Hyderabad,Rising Pune Supergiant,Rising Pune Supergiants won by 34 runs (D/L method)
"Rajiv Gandhi Intl. Cricket Stadium,",Punjab Kings,Mumbai Indians,Mumbai Indians won by 25 runs
"Arun Jaitley Stadium,",Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders won by 2 wickets
"Saurashtra Cricket Association Stadium,",Gujarat Lions,Royal Challengers Bangalore,Gujarat Lions won by 6 wickets
"Wankhede Stadium,",Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad won by 5 wickets
"IS Bindra Stadium,",Delhi Daredevils,Mumbai Indians,Delhi Daredevils won by 10 runs
"Rajiv Gandhi Intl. Cricket Stadium,",Rising Pune Supergiant,Royal Challengers Bangalore,Royal Challengers Bangalore won by 13 runs
"M. Chinnaswamy Stadium,",Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad won by 10 wickets
"IS Bindra Stadium,",Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians won by 6 wickets
"Wankhede Stadium,",Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders won by 6 wickets
"Rajiv Gandhi Intl. Cricket Stadium,",Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad won by 7 wickets
"Arun Jaitley Stadium,",Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils won by 7 wickets
"Saurashtra Cricket Association Stadium,",Punjab Kings,Rising Pune Supergiant,Punjab Kings won by 6 wickets
"Eden Gardens,",Mumbai Indians,Gujarat Lions,Gujarat Lions won by 3 wickets
"M. Chinnaswamy Stadium,",Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders won by 8 wickets
"IS Bindra Stadium,",Delhi Daredevils,Punjab Kings,Delhi Daredevils won by 8 wickets
"Eden Gardens,",Gujarat Lions,Rising Pune Supergiant,Gujarat Lions won by 7 wickets
"Wankhede Stadium,",Kolkata Knight Riders,Mumbai Indians,Mumbai Indians won by 6 wickets
,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore won by 45 runs
,Punjab Kings,Gujarat Lions,Gujarat Lions won by 5 wickets
,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders won by 9 wickets
,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant won by 9 wickets
