Stadium,Team1,Team2,Won
"M. Chinnaswamy Stadium,",Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad won by 8 runs
"Arun Jaitley Stadium,",Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad won by 4 wickets
"Arun Jaitley Stadium,",Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad won by 22 runs
"M. Chinnaswamy Stadium,",Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore won by 4 wickets
"Shaheed Veer Narayan Singh International Cricket Stadium,",Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore won by 6 wickets
"Eden Gardens,",Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders won by 22 runs
"Green Park,",Gujarat Lions,Mumbai Indians,Gujarat Lions won by 6 wickets
"ACA-VDCA Stadium,",Rising Pune Supergiant,Punjab Kings,Rising Pune Supergiant won by 4 wickets
"Shaheed Veer Narayan Singh International Cricket Stadium,",Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils won by 6 wickets
"Green Park,",Gujarat Lions,Kolkata Knight Riders,Gujarat Lions won by 6 wickets
"M. Chinnaswamy Stadium,",Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore won by 82 runs (D/L Method)
"ACA-VDCA Stadium,",Rising Pune Supergiant,Delhi Daredevils,Rising Pune Supergiants won by 19 runs (D/L Method)
"Eden Gardens,",Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore won by 9 wickets
"ACA-VDCA Stadium,",Mumbai Indians,Delhi Daredevils,Mumbai Indians won by 80 runs
"IS Bindra Stadium,",Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad won by 7 wickets
"Eden Gardens,",Kolkata Knight Riders,Rising Pune Supergiant,Kolkata Knight Riders won by 8 wickets (D/L Method)
"M. Chinnaswamy Stadium,",Royal Challengers Bangalore,Gujarat Lions,Royal Challengers Bangalore won by 144 runs
"ACA-VDCA Stadium,",Mumbai Indians,Punjab Kings,Punjab Kings won by 7 wickets
"Rajiv Gandhi Intl. Cricket Stadium,",Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils won by 7 wickets
"M. Chinnaswamy Stadium,",Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians won by 6 wickets
"ACA-VDCA Stadium,",Rising Pune Supergiant,Sunrisers Hyderabad,Sunrisers Hyderabad won by 4 runs
"IS Bindra Stadium,",Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore won by 1 run
"Eden Gardens,",Kolkata Knight Riders,Gujarat Lions,Gujarat Lions won by 5 wickets
"ACA-VDCA Stadium,",Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad won by 85 runs
"IS Bindra Stadium,",Punjab Kings,Delhi Daredevils,Punjab Kings won by 9 runs
"M. Chinnaswamy Stadium,",Royal Challengers Bangalore,Rising Pune Supergiant,Royal Challengers Bangalore won by 7 wickets
"Rajiv Gandhi Intl. Cricket Stadium,",Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad won by 5 wickets
"Arun Jaitley Stadium,",Delhi Daredevils,Rising Pune Supergiant,Rising Pune Supergiant won by 7 wickets
"Eden Gardens,",Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders won by 7 runs
"Saurashtra Cricket Association Stadium,",Gujarat Lions,Delhi Daredevils,Delhi Daredevils won by 8 wickets
