Stadium,Team1,Team2,Won
"Eden Gardens,",Chennai Super Kings,Mumbai Indians,Mumbai Indians won by 23 runs
"Eden Gardens,",Rajasthan Royals,Mumbai Indians,Mumbai Indians won by 4 wickets
"Arun Jaitley Stadium,",Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals won by 4 wickets
"Arun Jaitley Stadium,",Chennai Super Kings,Mumbai Indians,Chennai Super Kings won by 48 runs
"Rajiv Gandhi Intl. Cricket Stadium,",Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad won by 5 wickets
"M. Chinnaswamy Stadium,",Pune Warriors India,Delhi Daredevils,Pune Warriors India won by 38 runs
"HPCA Stadium,",Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore won by 24 runs
"Rajiv Gandhi Intl. Cricket Stadium,",Punjab Kings,Mumbai Indians,Punjab Kings won by 50 runs
"HPCA Stadium,",Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad won by 23 runs
"Wankhede Stadium,",Punjab Kings,Delhi Daredevils,Punjab Kings won by 7 runs
"JSCA International Cricket Stadium,",Mumbai Indians,Rajasthan Royals,Mumbai Indians won by 14 runs
"M. A. Chidambaram Stadium,",Kolkata Knight Riders,Pune Warriors India,Pune Warriors India won by 7 runs
"M. Chinnaswamy Stadium,",Chennai Super Kings,Delhi Daredevils,Chennai Super Kings won by 33 runs
"Wankhede Stadium,",Royal Challengers Bangalore,Punjab Kings,Punjab Kings won by 7 wickets
"Sawai Mansingh Stadium,",Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians won by 7 wickets
"JSCA International Cricket Stadium,",Rajasthan Royals,Chennai Super Kings,Rajasthan Royals won by 5 wickets
"IS Bindra Stadium,",Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders won by 5 wickets
"Arun Jaitley Stadium,",Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad won by 30 runs
"IS Bindra Stadium,",Pune Warriors India,Mumbai Indians,Mumbai Indians won by 5 wickets
"Rajiv Gandhi Intl. Cricket Stadium,",Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore won by 4 runs
"Wankhede Stadium,",Pune Warriors India,Kolkata Knight Riders,Kolkata Knight Riders won by 46 runs
"Sawai Mansingh Stadium,",Punjab Kings,Rajasthan Royals,Rajasthan Royals won by 8 wickets
"IS Bindra Stadium,",Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings won by 77 runs
"Sawai Mansingh Stadium,",Mumbai Indians,Kolkata Knight Riders,Mumbai Indians won by 65 runs
"Wankhede Stadium,",Rajasthan Royals,Delhi Daredevils,Rajasthan Royals won by 9 wickets
"Rajiv Gandhi Intl. Cricket Stadium,",Punjab Kings,Royal Challengers Bangalore,Punjab Kings won by 6 wickets
"Eden Gardens,",Rajasthan Royals,Pune Warriors India,Rajasthan Royals won by 5 wickets
