Stadium,Team1,Team2,Won
"M. A. Chidambaram Stadium,",Mumbai Indians,Chennai Super Kings,Mumbai Indians won by 60 runs
"Shaheed Veer Narayan Singh International Cricket Stadium,",Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad won by 6 wickets
"Rajiv Gandhi Intl. Cricket Stadium,",Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders won by 8 wickets
"Wankhede Stadium,",Pune Warriors India,Royal Challengers Bangalore,Royal Challengers Bangalore won by 17 runs
"Sawai Mansingh Stadium,",Chennai Super Kings,Punjab Kings,Chennai Super Kings won by 15 runs
"Shaheed Veer Narayan Singh International Cricket Stadium,",Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils won by 7 wickets
"M. A. Chidambaram Stadium,",Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad won by 7 wickets
"Wankhede Stadium,",Pune Warriors India,Chennai Super Kings,Chennai Super Kings won by 37 runs
"Sawai Mansingh Stadium,",Mumbai Indians,Punjab Kings,Mumbai Indians won by 4 runs
"Eden Gardens,",Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals won by 4 wickets
"M. A. Chidambaram Stadium,",Delhi Daredevils,Pune Warriors India,Delhi Daredevils won by 15 runs
"Eden Gardens,",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings won by 14 runs
"Arun Jaitley Stadium,",Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians won by 58 runs
"M. Chinnaswamy Stadium,",Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals won by 8 wickets
"M. A. Chidambaram Stadium,",Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders won by 6 wickets
"IS Bindra Stadium,",Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings won by 5 wickets
"Arun Jaitley Stadium,",Kolkata Knight Riders,Mumbai Indians,Mumbai Indians won by 5 wickets
"M. Chinnaswamy Stadium,",Delhi Daredevils,Punjab Kings,Punjab Kings won by 5 wickets
"Eden Gardens,",Royal Challengers Bangalore,Pune Warriors India,Royal Challengers Bangalore won by 130 runs
"Rajiv Gandhi Intl. Cricket Stadium,",Chennai Super Kings,Rajasthan Royals,Chennai Super Kings won by 5 wickets
"Arun Jaitley Stadium,",Punjab Kings,Pune Warriors India,Punjab Kings won by 7 wickets
"Sawai Mansingh Stadium,",Delhi Daredevils,Mumbai Indians,Delhi Daredevils won by 9 wickets
"M. Chinnaswamy Stadium,",Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore won by 7 wickets
"IS Bindra Stadium,",Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings won by 4 wickets
"M. A. Chidambaram Stadium,",Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad won by 5 wickets
"Sawai Mansingh Stadium,",Delhi Daredevils,Chennai Super Kings,Chennai Super Kings won by 86 runs
"Eden Gardens,",Rajasthan Royals,Mumbai Indians,Rajasthan Royals won by 87 runs
"M. A. Chidambaram Stadium,",Pune Warriors India,Sunrisers Hyderabad,Sunrisers Hyderabad won by 11 runs
"Wankhede Stadium,",Royal Challengers Bangalore,Delhi Daredevils,Match Tied (Royal Challengers Bangalore won Super Over)
"Arun Jaitley Stadium,",Punjab Kings,Kolkata Knight Riders,Punjab Kings won by 4 runs
"M. Chinnaswamy Stadium,",Chennai Super Kings,Pune Warriors India,Pune Warriors India won by 24 runs
"IS Bindra Stadium,",Rajasthan Royals,Punjab Kings,Rajasthan Royals won by 6 wickets
"Wankhede Stadium,",Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders won by 48 runs
"M. Chinnaswamy Stadium,",Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings won by 4 wickets
"Sawai Mansingh Stadium,",Mumbai Indians,Pune Warriors India,Mumbai Indians won by 41 runs
"Rajiv Gandhi Intl. Cricket Stadium,",Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad won by 3 wickets
"M. A. Chidambaram Stadium,",Pune Warriors India,Rajasthan Royals,Pune Warriors India won by 7 wickets
"Arun Jaitley Stadium,",Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore won by 8 wickets
"Rajiv Gandhi Intl. Cricket Stadium,",Punjab Kings,Chennai Super Kings,Chennai Super Kings won by 10 wickets
"M. Chinnaswamy Stadium,",Mumbai Indians,Delhi Daredevils,Mumbai Indians won by 44 runs
"Eden Gardens,",Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore won by 7 wickets
,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals won by 19 runs
,Sunrisers Hyderabad,Royal Challengers Bangalore,Match Tied (Sunrisers Hyderabad won Super Over)
,Pune Warriors India,Punjab Kings,Punjab Kings won by 8 wickets
,Chennai Super Kings,Mumbai Indians,Mumbai Indians won by 9 runs
,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals won by 5 runs
,Sunrisers Hyderabad,Pune Warriors India,Sunrisers Hyderabad won by 22 runs
,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore won by 2 runs
,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders won by 6 wickets
