,Stadium,Team1,Team2,Won,Year
572,Arun Jaitley Stadium ,Royal Challengers Bangalore,Delhi Daredevils,DC   ,2016
573,Saurashtra Cricket Association Stadium ,Punjab Kings,Rising Pune Supergiant,PBKS   ,2016
574,Eden Gardens ,Mumbai Indians,Gujarat Lions,GL   ,2016
575,M. Chinnaswamy Stadium ,Sunrisers Hyderabad,Kolkata Knight Riders,KKR   ,2016
576,IS Bindra Stadium ,Delhi Daredevils,Punjab Kings,DC   ,2016
577,Eden Gardens ,Gujarat Lions,Rising Pune Supergiant,GL   ,2016
578,Wankhede Stadium ,Kolkata Knight Riders,Mumbai Indians,MI   ,2016
579,Other,Royal Challengers Bangalore,Sunrisers Hyderabad,RCB   ,2016
580,Other,Punjab Kings,Gujarat Lions,GL   ,2016
581,Other,Kolkata Knight Riders,Delhi Daredevils,KKR   ,2016
582,Other,Mumbai Indians,Rising Pune Supergiant,RPS   ,2016
583,Rajiv Gandhi Intl. Cricket Stadium ,Rising Pune Supergiant,Mumbai Indians,MI   ,2017
584,M. Chinnaswamy Stadium ,Mumbai Indians,Kolkata Knight Riders,MI   ,2017
585,M. Chinnaswamy Stadium ,Sunrisers Hyderabad,Kolkata Knight Riders,KKR   ,2017
586,Wankhede Stadium ,Mumbai Indians,Rising Pune Supergiant,RPS   ,2017
587,Arun Jaitley Stadium ,Delhi Daredevils,Royal Challengers Bangalore,RCB   ,2017
588,Eden Gardens ,Rising Pune Supergiant,Punjab Kings,RPS   ,2017
589,Green Park ,Kolkata Knight Riders,Mumbai Indians,MI   ,2017
590,Arun Jaitley Stadium ,Gujarat Lions,Sunrisers Hyderabad,SRH   ,2017
591,Wankhede Stadium ,Delhi Daredevils,Rising Pune Supergiant,DC   ,2017
592,Green Park ,Mumbai Indians,Punjab Kings,PBKS   ,2017
593,IS Bindra Stadium ,Gujarat Lions,Delhi Daredevils,DC   ,2017
594,Rajiv Gandhi Intl. Cricket Stadium ,Punjab Kings,Kolkata Knight Riders,PBKS   ,2017
595,IS Bindra Stadium ,Sunrisers Hyderabad,Mumbai Indians,SRH   ,2017
596,M. Chinnaswamy Stadium ,Punjab Kings,Gujarat Lions,GL   ,2017
597,Arun Jaitley Stadium ,Royal Challengers Bangalore,Kolkata Knight Riders,KKR   ,2017
598,Rajiv Gandhi Intl. Cricket Stadium ,Delhi Daredevils,Mumbai Indians,MI   ,2017
599,M. Chinnaswamy Stadium ,Sunrisers Hyderabad,Rising Pune Supergiant,RPS   ,2017
600,Arun Jaitley Stadium ,Royal Challengers Bangalore,Punjab Kings,PBKS   ,2017
601,Eden Gardens ,Delhi Daredevils,Gujarat Lions,DC   ,2017
602,Arun Jaitley Stadium ,Kolkata Knight Riders,Rising Pune Supergiant,RPS   ,2017
603,Wankhede Stadium ,Delhi Daredevils,Sunrisers Hyderabad,DC   ,2017
604,Rajiv Gandhi Intl. Cricket Stadium ,Rising Pune Supergiant,Gujarat Lions,RPS   ,2017
605,IS Bindra Stadium ,Mumbai Indians,Royal Challengers Bangalore,MI   ,2017
606,Saurashtra Cricket Association Stadium ,Sunrisers Hyderabad,Kolkata Knight Riders,SRH   ,2017
607,IS Bindra Stadium ,Punjab Kings,Delhi Daredevils,PBKS   ,2017
